Name,Price,Store Price,Store Base Price
★ Gut Knife | Lore (Minimal Wear),18174,18174,15798
★ Ursus Knife | Tiger Tooth (Minimal Wear),30599,30599,22835
★ Shadow Daggers | Lore (Minimal Wear),6731,13234,9070
StatTrak™ M4A1-S | Black Lotus (Field-Tested),2588,2837,2055
★ Flip Knife | Damascus Steel (Factory New),26573,26573,21123
★ Bowie Knife | Crimson Web (Field-Tested),18967,18967,16982
★ Bowie Knife | Lore (Battle-Scarred),13455,15726,10825
★ Kukri Knife | Crimson Web (Battle-Scarred),13718,15529,11500
★ Ursus Knife | Damascus Steel (Factory New),17655,17655,15529
★ StatTrak™ Bayonet | Fade (Factory New),85054,85054,65649
Desert Eagle | Mecha Industries (Minimal Wear),1452,1700,1129
★ Falchion Knife | Ultraviolet (Field-Tested),13552,14850,11231
★ StatTrak™ Stiletto Knife | Night Stripe (Field-Tested),29593,29593,17259
★ Stiletto Knife | Boreal Forest (Well-Worn),22303,22303,19058
★ Hand Wraps | Duct Tape (Battle-Scarred),8889,9819,6837
Osiris | Elite Crew,1665,1813,1225
